Latitude,Longitude,Temperatura,Umidade,Data,Hora
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:55
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:00
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:05
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:10
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:15
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:20
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:25
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:30
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:35
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:40
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:45
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:50
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:24:55
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:00
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:05
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:10
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:15
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:20
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:25
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:30
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:35
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:40
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:45
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:50
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:25:55
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:00
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:05
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:10
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:16
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:21
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:26
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:31
